id,title,isbn,publication_date,price,language,pages,publisher_id,description,tags,authors
398,Babel,978-0063021426,2022-08-23,18.99,en,545,14,Oxford student uncovers truth about empire's translation magic.,fantasy historical academia postcolonial,297
399,The Atlas Six,978-1250854445,2020-03-03,16.99,en,372,15,Six magicians compete for place in secret society.,fantasy dark-academia contemporary,315
400,The Atlas Paradox,978-1250854506,2022-10-25,17.99,en,464,15,Magical society members face consequences of initiation.,fantasy dark-academia contemporary,315
401,Ninth House,978-1250313072,2019-10-08,17.99,en,458,16,Survivor sees ghosts and monitors Yale's secret societies.,fantasy dark-academia urban-fantasy,316
402,Hell Bent,978-1250313102,2023-01-10,18.99,en,480,16,Galaxy and Dawes attempt to rescue soul from hell.,fantasy dark-academia urban-fantasy,316
403,A Deadly Education,978-0593128527,2020-09-29,15.99,en,313,17,Students survive magical school designed to kill them.,fantasy dark-academia ya,317
404,The Last Graduate,978-0593128541,2021-09-28,15.99,en,388,17,El must save classmates during deadly graduation.,fantasy dark-academia ya,317
405,The Golden Enclaves,978-0593128565,2022-09-27,16.99,en,405,17,El hunts monstrous threat to magical enclaves.,fantasy dark-academia ya,317
406,Legendborn,978-1534441606,2020-09-15,16.99,en,501,18,Black teen infiltrates secret society hunting magical creatures.,fantasy ya arthurian contemporary,339
407,Bloodmarked,978-1534441620,2022-11-08,17.99,en,544,18,Bree embraces powers to fight coming war.,fantasy ya arthurian contemporary,339
408,Elatsoe,978-1646140039,2020-08-25,15.99,en,368,19,Lipan Apache teen investigates cousin's death with ghost dog.,fantasy ya mystery native-american,340
409,A Snake Falls to Earth,978-1646140596,2021-11-09,15.99,en,352,19,Teen and cottonmouth person face environmental disaster.,fantasy ya native-american climate,340
410,The Gilded Wolves,978-1250144546,2019-01-15,16.99,en,432,20,Diverse crew pulls off heist in 1889 Paris.,fantasy historical heist ya,341
411,Ace of Spades,978-1250800817,2021-06-01,15.99,en,424,21,Two Black students targeted by anonymous texter at elite school.,thriller ya contemporary mystery,342
412,Cemetery Boys,978-1250250469,2020-09-01,15.99,en,352,22,Trans brujo tries to prove himself and accidentally summons ghost.,fantasy ya lgbt contemporary,343
413,The Extraordinaries,978-1250231260,2020-06-23,15.99,en,416,23,Fanboy writes fic about superhero who's secretly his friend.,fantasy ya lgbt superhero,318
414,Red White & Royal Blue,978-1250316776,2019-05-14,15.99,en,421,24,President's son falls for Prince of Wales.,romance lgbt contemporary,319
415,One Last Stop,978-1250244499,2021-06-01,16.99,en,432,25,Girl falls for time-displaced punk from 1970s on subway.,romance lgbt time-travel contemporary,319
416,The House in the Cerulean Sea,978-1250217318,2020-03-17,15.99,en,394,26,Caseworker investigates orphanage of dangerous magical children.,fantasy lgbt contemporary feel-good,318
417,Under the Whispering Door,978-1250217349,2021-09-21,16.99,en,373,26,Dead man learns about life at tea shop way-station.,fantasy lgbt contemporary philosophical,318
418,The Midnight Library,978-0525559474,2020-08-13,15.99,en,304,27,Nora explores infinite library of lives she could have lived.,fiction fantasy philosophical contemporary,320
419,Klara and the Sun,978-0593318171,2021-03-02,16.99,en,307,9,Artificial Friend observes humans from store window.,science-fiction literary philosophical,158
420,Cloud Cuckoo Land,978-1982168438,2021-09-28,18.99,en,626,28,Five characters connected across time by ancient text.,fiction historical literary,321
421,The Lincoln Highway,978-0735222359,2021-10-05,18.99,en,592,29,Four boys road trip across 1950s America.,fiction historical adventure,322
422,Apples Never Fall,978-1250220264,2021-09-14,17.99,en,480,30,Mother disappears and four siblings suspect father.,thriller mystery family-drama,323
423,The Silent Patient,978-1250301697,2019-02-05,16.99,en,325,31,Psychotherapist obsessed with mute woman who killed husband.,thriller psychological mystery,324
424,The Woman in the Window,978-0062678416,2018-01-02,16.99,en,427,32,Agoraphobic woman witnesses crime across the street.,thriller psychological domestic,352
425,The Last Thing He Told Me,978-1501171345,2021-05-04,16.99,en,309,33,Woman searches for truth when husband vanishes.,thriller mystery contemporary,325
426,The Guest List,978-0062868930,2020-06-02,15.99,en,320,34,Murder during wedding on remote Irish island.,thriller mystery domestic,326
427,The Hunting Party,978-1250221551,2019-02-12,15.99,en,288,35,One of nine friends found dead during New Year celebration.,thriller mystery locked-room,326
428,The Thursday Murder Club,978-0241425459,2020-09-03,15.99,en,368,1,Four retirees investigate cold cases.,mystery cozy humor contemporary,327
429,The Man Who Died Twice,978-0241425466,2021-09-16,16.99,en,421,1,Thursday Murder Club tackles diamonds and assassins.,mystery cozy humor contemporary,327
430,The Bullet That Missed,978-0241425473,2022-09-15,16.99,en,389,1,Club investigates murder of TV presenter.,mystery cozy humor contemporary,327
431,Finlay Donovan Is Killing It,978-1250241702,2021-02-02,15.99,en,336,2,Struggling author mistaken for contract killer.,mystery comedy contemporary,328
432,Finlay Donovan Knocks 'Em Dead,978-1250241726,2022-02-01,15.99,en,352,2,Finlay accidentally becomes actual hitwoman.,mystery comedy contemporary,328
433,The Seven Husbands of Evelyn Hugo,978-1501139239,2017-06-13,16.99,en,388,3,Aging actress tells life story to unknown journalist.,fiction historical lgbt hollywood,329
434,Daisy Jones & The Six,978-1524798628,2019-03-05,16.99,en,355,4,Oral history of fictional 1970s rock band.,fiction historical music,329
435,Malibu Rising,978-1524798659,2021-06-01,16.99,en,369,4,Four siblings throw epic party as past crashes in.,fiction historical family-drama,329
436,The Dutch House,978-0062963673,2019-09-24,17.99,en,337,5,Siblings shaped by grand house and stepmother's betrayal.,fiction literary family-drama,330
437,The Nightingale,978-1250080400,2015-02-03,16.99,en,440,6,Two French sisters resist Nazi occupation in different ways.,fiction historical wwii,331
438,The Great Alone,978-0312577230,2018-02-06,17.99,en,440,7,Family seeks fresh start in 1970s Alaska wilderness.,fiction historical survival,331
439,The Four Winds,978-1250178602,2021-02-02,17.99,en,454,8,Mother fights for family during Dust Bowl.,fiction historical great-depression,331
440,Where the Crawdads Sing,978-0735219090,2018-08-14,15.99,en,370,9,Marsh girl suspected of murder in 1960s North Carolina.,fiction mystery coming-of-age,332
441,Lessons in Chemistry,978-0385547345,2022-04-05,17.99,en,391,10,Female chemist becomes TV cooking show host in 1960s.,fiction historical feminist,333
442,Tomorrow and Tomorrow and Tomorrow,978-0593321201,2022-07-05,18.99,en,416,11,Two friends build video game empire over decades.,fiction contemporary gaming,334
443,The Invisible Man,978-0486270715,1897-01-01,10.99,en,151,22,Scientist discovers invisibility formula with terrible consequences.,science-fiction horror classic,213
444,The Island of Doctor Moreau,978-0486290270,1896-01-01,9.99,en,104,22,Shipwreck survivor discovers doctor creating human-animal hybrids.,science-fiction horror classic,213
445,Kindred,978-0807083697,1979-06-01,14.99,en,287,12,Black woman pulled back to antebellum South.,science-fiction time-travel historical classic,335
446,Parable of the Sower,978-1538732182,1993-10-01,15.99,en,329,13,Teen prophet leads group through dystopian California.,science-fiction dystopian afrofuturism,335
447,Parable of the Talents,978-1538732199,1998-10-01,15.99,en,365,13,Lauren Olamina's daughter recounts mother's religious movement.,science-fiction dystopian afrofuturism,335
448,Dawn,978-0446603775,1987-05-01,14.99,en,248,14,Aliens resurrect humanity after nuclear war.,science-fiction alien-contact biological,335
449,The Broken Earth Trilogy Box Set,978-0316527194,2018-11-13,24.99,en,1344,17,Three complete novels in beautiful box set.,fantasy apocalyptic literary,174
450,Contact,978-0671004101,1985-09-01,16.99,en,432,15,Scientist makes first contact with extraterrestrial intelligence.,science-fiction hard-sf first-contact,100
451,Thus Spoke Zarathustra,978-0140441185,1883-01-01,14.99,en,352,35,Zarathustra descends from mountain to teach the Übermensch.,philosophy fiction classic,
